"DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P5010","P8526","P8530","REGION","DEPARTAMENTO","PERSONAS","FEX_C","logro_educativo","analfabetismo","inasistencia_escolar","rezago_escolar","atencion_integral","trabajo_infantil","aseguramiento_salud","barreras_acceso_salud","desempleo_larga_duracion","empleo_formal","acueducto","alcantarillado","pisos","paredes","hacinamiento","IPM","POBRE","FEXP","PERIODO","P1075","P1077S21","P1077S22","P1077S23"
8369550,1,4,3,1,1,1,13,4,472.131901349031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1888.52760539612,NA,NA,NA,NA,NA
8369551,1,1,1,1,1,1,13,1,308.85431889674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,308.85431889674,20250731,1,2,2,2
8369552,1,5,3,1,1,1,13,5,428.516239120223,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.15,0,2142.58119560112,NA,NA,NA,NA,NA
8369553,1,3,2,1,1,1,13,3,268.976656039934,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,806.929968119802,NA,NA,NA,NA,NA
8369554,1,2,1,1,1,1,13,2,353.949441872469,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,707.898883744938,NA,NA,NA,NA,NA
8369555,1,2,2,1,1,1,13,2,271.967264217335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.93452843467,NA,NA,NA,NA,NA
8369557,1,3,2,1,1,1,13,3,359.110975695912,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,1077.33292708774,NA,NA,NA,NA,NA
8369558,1,3,3,1,1,1,13,3,400.175567664292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200.52670299288,NA,NA,NA,NA,NA
8369559,1,4,3,1,1,1,13,4,200.857911241814,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,803.431644967256,NA,NA,NA,NA,NA
8369560,1,5,3,1,1,1,13,5,415.014549515869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075.07274757935,NA,NA,NA,NA,NA
8369561,1,3,2,1,1,1,13,3,248.335875888451,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,745.007627665353,NA,NA,NA,NA,NA
8369563,1,1,1,1,1,1,13,1,263.978050339094,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,263.978050339094,20250731,1,2,2,2
8369564,1,1,1,2,9,1,13,1,449.962585805274,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.28,0,449.962585805274,20250731,2,2,2,2
8369565,1,5,2,2,8,1,13,5,852.74819050472,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0.53,1,4263.7409525236,NA,NA,NA,NA,NA
8369567,1,1,1,2,9,1,13,1,527.338963031018,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.32,0,527.338963031018,20250731,2,2,2,2
8369568,1,1,1,1,1,4,76,1,508.858210465268,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,508.858210465268,20250731,2,2,2,1
8369569,1,2,1,1,1,4,76,2,749.827166905246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.65433381049,NA,NA,NA,NA,NA
8369570,1,2,2,1,1,4,76,2,906.642543917557,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,1813.28508783511,NA,NA,NA,NA,NA
8369571,1,3,2,1,1,4,76,3,918.200272584573,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,2754.60081775372,NA,NA,NA,NA,NA
8369572,1,3,2,1,1,4,76,3,882.100933818135,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0,2646.30280145441,NA,NA,NA,NA,NA
8369573,1,1,1,1,1,4,76,1,508.858210465268,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,508.858210465268,20250731,2,2,2,2
8369574,1,9,3,1,1,4,76,9,1747.28040724297,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.19,0,15725.5236651867,NA,NA,NA,NA,NA
8369575,1,1,1,1,1,4,76,1,638.750964189297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,638.750964189297,20250731,1,2,2,2
8369576,1,1,1,1,1,4,76,1,830.997988339847,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,830.997988339847,20250731,1,2,2,2
8369577,1,2,2,1,1,4,76,2,722.272886139773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1444.54577227955,NA,NA,NA,NA,NA
8369578,1,1,1,4,7,4,76,1,784.88700059115,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18,0,784.88700059115,20250731,2,2,2,2
8369579,1,1,1,4,7,4,76,1,784.88700059115,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.08,0,784.88700059115,20250731,1,2,2,2
8369580,1,1,1,1,1,4,76,1,838.030391256176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,838.030391256176,20250731,1,2,2,2
