DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P5010,P8526,P8530,PERSONAS,FEX_C,logro_educativo,analfabetismo,inasistencia_escolar,rezago_escolar,atencion_integral,trabajo_infantil,aseguramiento_salud,barreras_acceso_salud,desempleo_larga_duracion,empleo_formal,acueducto,alcantarillado,pisos,paredes,hacinamiento,IPM,POBRE,FEXP,PERIODO,P1075,P1077S21,P1077S22,P1077S23
8369550,1,4,3,1,1,4,472.13190135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1888.5276054,,,,,
8369551,1,1,1,1,1,1,308.8543189,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,308.8543189,20250731,1,2,2,2
8369552,1,5,3,1,1,5,428.51623912,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.15,0,2142.5811956,,,,,
8369553,1,3,2,1,1,3,268.97665604,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,806.92996812,,,,,
8369554,1,2,1,1,1,2,353.94944187,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,707.89888374,,,,,
8369555,1,2,2,1,1,2,271.96726422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.93452843,,,,,
8369557,1,3,2,1,1,3,359.1109757,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,1077.3329271,,,,,
8369558,1,3,3,1,1,3,400.17556766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200.526703,,,,,
8369559,1,4,3,1,1,4,200.85791124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,803.43164497,,,,,
8369560,1,5,3,1,1,5,415.01454952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075.0727476,,,,,
8369561,1,3,2,1,1,3,248.33587589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,745.00762767,,,,,
8369563,1,1,1,1,1,1,263.97805034,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,263.97805034,20250731,1,2,2,2
8369564,1,1,1,2,9,1,449.96258581,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.28,0,449.96258581,20250731,2,2,2,2
8369565,1,5,2,2,8,5,852.7481905,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0.53,1,4263.7409525,,,,,
8369567,1,1,1,2,9,1,527.33896303,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.32,0,527.33896303,20250731,2,2,2,2
8369568,1,1,1,1,1,1,508.85821047,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,508.85821047,20250731,2,2,2,1
8369569,1,2,1,1,1,2,749.82716691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.6543338,,,,,
8369570,1,2,2,1,1,2,906.64254392,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,1813.2850878,,,,,
8369571,1,3,2,1,1,3,918.20027258,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,2754.6008178,,,,,
8369572,1,3,2,1,1,3,882.10093382,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0,2646.3028015,,,,,
8369573,1,1,1,1,1,1,508.85821047,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,508.85821047,20250731,2,2,2,2
8369574,1,9,3,1,1,9,1747.2804072,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.19,0,15725.523665,,,,,
8369575,1,1,1,1,1,1,638.75096419,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,638.75096419,20250731,1,2,2,2
8369576,1,1,1,1,1,1,830.99798834,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,830.99798834,20250731,1,2,2,2
8369577,1,2,2,1,1,2,722.27288614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1444.5457723,,,,,
8369578,1,1,1,4,7,1,784.88700059,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18,0,784.88700059,20250731,2,2,2,2
8369579,1,1,1,4,7,1,784.88700059,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.08,0,784.88700059,20250731,1,2,2,2
8369580,1,1,1,1,1,1,838.03039126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,838.03039126,20250731,1,2,2,2
8369581,1,1,1,1,1,1,24.063674422,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,24.063674422,20250731,1,2,2,2
8369583,1,1,1,1,1,1,24.063674422,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,24.063674422,20250731,1,2,2,2
8369584,1,4,3,1,1,4,18.554043982,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,74.216175927,,,,,
8369585,1,1,1,1,1,1,24.063674422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.063674422,20250731,1,2,1,2
8369586,1,1,1,1,1,1,21.043985891,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,21.043985891,20250731,1,2,2,2
8369587,1,1,1,1,1,1,22.42984785,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,22.42984785,20250731,2,2,2,2
8369588,1,1,1,1,1,1,35.327010364,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,35.327010364,20250731,2,2,2,2
8369589,1,6,2,1,1,6,14.783714645,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.19,0,88.702287867,,,,,
8369590,1,3,3,1,1,3,23.249741042,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0,69.749223125,,,,,
8369591,1,3,3,1,1,3,320.62426596,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,961.87279788,,,,,
8369592,1,1,1,1,1,1,184.00377488,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,184.00377488,20250731,1,2,2,2
8369593,1,4,2,1,1,4,240.78920934,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3,0,963.15683735,,,,,
8369594,1,1,1,1,1,1,123.1760807,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4,1,123.1760807,20250731,2,2,2,2
8369595,1,1,1,1,1,1,84.102711179,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,84.102711179,20250731,1,2,2,2
8369596,1,1,2,1,1,1,638.74664671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.74664671,20250731,1,2,1,2
8369597,1,3,3,1,2,3,147.34573425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,442.03720276,,,,,
8369598,1,3,2,1,1,3,558.84676187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1676.5402856,,,,,
8369599,1,2,2,1,1,2,397.95157788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795.90315576,,,,,
8369600,1,1,1,1,2,1,237.46797712,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,237.46797712,20250731,2,2,2,2
8369601,1,1,1,1,1,1,429.61796575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.61796575,20250731,1,2,1,2
8369602,1,5,3,1,2,5,113.42785798,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.25,0,567.13928992,,,,,
8369603,1,2,1,1,2,2,181.93949385,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.4,1,363.87898769,,,,,
8369604,1,2,3,1,1,2,529.28801707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058.5760341,,,,,
8369605,1,2,1,5,2,2,194.79391653,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.34,1,389.58783306,,,,,
8369606,1,2,1,5,2,2,194.79391653,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.14,0,389.58783306,,,,,
8369607,1,2,1,1,1,2,213.82644008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,427.65288017,,,,,
8369608,1,3,2,5,2,3,209.37460533,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,628.123816,,,,,
8369609,1,2,2,1,1,2,186.27369967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.54739933,,,,,
8369610,1,5,4,1,1,5,594.24634783,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,2971.2317391,,,,,
8369611,1,2,2,1,1,2,375.74259618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.48519236,,,,,
8369612,1,2,1,2,1,2,320.96651822,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,641.93303645,,,,,
8369613,1,2,1,1,1,2,320.96651822,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,641.93303645,,,,,
8369614,1,2,1,1,1,2,320.96651822,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.3,0,641.93303645,,,,,
8369615,1,3,3,1,1,3,525.7628485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0,1577.2885455,,,,,
8369616,1,2,1,1,1,2,261.30802606,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,522.61605213,,,,,
8369617,1,2,1,1,1,2,32.490374422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0,64.980748844,,,,,
8369618,1,1,1,1,1,1,25.129092598,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,25.129092598,20250731,2,2,2,2
8369619,1,3,2,1,1,3,59.738332498,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,179.21499749,,,,,
8369620,1,1,1,2,1,1,31.23780465,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,31.23780465,20250731,1,2,2,2
8369621,1,5,3,1,1,5,2146.4760832,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,10732.380416,,,,,
8369622,1,1,1,1,1,1,1562.4803372,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,1562.4803372,20250731,2,2,2,2
8369623,1,3,3,1,1,3,1467.9626556,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,4403.8879668,,,,,
8369624,1,2,1,1,1,2,2382.694388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4765.3887761,,,,,
8369626,1,1,1,1,8,1,142.38738537,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.24,0,142.38738537,20250731,1,1,2,2
8369628,1,1,1,2,1,1,102.20040489,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.34,1,102.20040489,20250731,2,2,2,2
8369629,1,6,2,2,1,6,113.59218233,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.33,0,681.55309396,,,,,
8369630,1,10,2,2,1,10,81.285785391,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.33,0,812.85785391,,,,,
8369631,1,4,2,2,1,4,140.22145104,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.19,0,560.88580416,,,,,
8369632,1,5,2,2,1,5,142.65242219,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.13,0,713.26211093,,,,,
8369633,1,4,2,1,1,4,78.311181338,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,313.24472535,,,,,
8369636,1,4,2,1,2,4,183.95713313,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,735.82853251,,,,,
8369637,1,4,3,1,2,4,124.489869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.95947601,,,,,
8369638,1,3,2,1,1,3,84.334054063,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0,253.00216219,,,,,
8369639,1,2,2,1,2,2,106.70296364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,213.40592727,,,,,
8369640,1,2,1,1,1,2,93.410858526,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,186.82171705,,,,,
8369641,1,3,3,1,1,3,184.91094448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,554.73283343,,,,,
8369642,1,2,1,1,1,2,94.599854829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,189.19970966,,,,,
8369643,1,4,3,1,2,4,168.65637376,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.3,0,674.62549504,,,,,
8369645,1,2,2,1,1,2,178.93442439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,357.86884878,,,,,
8369646,1,1,1,1,2,1,151.18105246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.18105246,20250731,2,2,2,2
8369647,1,3,2,1,1,3,245.83823025,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.45,1,737.51469074,,,,,
8369648,1,1,2,1,2,1,94.599854829,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,94.599854829,20250731,2,2,2,2
8369649,1,1,1,1,1,1,118.10413296,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,118.10413296,20250731,1,2,2,2
8369650,1,1,1,1,1,1,118.10413296,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.3,0,118.10413296,20250731,1,2,2,2
8369652,1,1,1,1,1,1,499.36449504,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,499.36449504,20250731,2,2,2,2
8369653,1,2,2,1,1,2,141.65448363,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,283.30896725,,,,,
8369654,1,5,2,1,1,5,124.84112376,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15,0,624.2056188,,,,,
8369655,1,6,3,1,1,6,67.880025483,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,407.2801529,,,,,
8369656,1,6,3,1,1,6,198.28421617,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,1189.705297,,,,,
8369657,1,2,1,1,1,2,174.50041466,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,349.00082933,,,,,
8369658,1,3,2,1,1,3,223.87137072,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,671.61411215,,,,,
8369659,1,1,1,1,1,1,366.01726422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.01726422,20250731,1,2,2,2
8369660,1,6,2,1,1,6,101.85947045,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.39,1,611.1568227,,,,,
8369661,1,2,2,1,1,2,327.18827749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,654.37655498,,,,,
8369662,1,3,2,1,1,3,186.83230032,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,560.49690095,,,,,
8369664,1,4,3,1,1,4,66.581932672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,266.32773069,,,,,
8369665,1,1,2,1,1,1,245.80278087,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,245.80278087,20250731,1,2,2,2
8369666,1,2,2,1,1,2,170.73920689,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,341.47841379,,,,,
8369667,1,2,2,1,1,2,195.80221186,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,391.60442372,,,,,
8369668,1,3,1,1,1,3,234.74770577,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.39,1,704.24311731,,,,,
8369669,1,2,2,1,1,2,367.12914724,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,734.25829448,,,,,
8369670,1,1,1,1,1,1,195.20920759,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,195.20920759,20250731,2,2,2,2
8369671,1,4,3,1,1,4,120.17807705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,480.71230818,,,,,
8369672,1,4,2,1,1,4,225.33389446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.33557784,,,,,
8369673,1,4,2,1,1,4,124.84112376,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,499.36449504,,,,,
8369674,1,2,1,1,1,2,141.65448363,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,283.30896725,,,,,
8369675,1,2,2,1,1,2,367.12914724,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,734.25829448,,,,,
8369676,1,2,1,2,1,2,276.74419618,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,553.48839235,,,,,
8369677,1,2,2,2,1,2,198.45578789,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,396.91157578,,,,,
8369678,1,2,2,2,1,2,234.88396964,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,469.76793928,,,,,
8369679,1,4,2,2,1,4,239.68267943,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.19,0,958.73071774,,,,,
8369680,1,2,2,2,1,2,282.42268276,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,564.84536551,,,,,
8369681,1,1,1,2,1,1,208.91786895,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.44,1,208.91786895,20250731,2,2,2,2
8369682,1,1,1,2,1,1,322.42019759,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4,1,322.42019759,20250731,2,2,2,2
8369683,1,3,2,2,1,3,239.5968061,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,718.7904183,,,,,
8369684,1,1,1,2,1,1,232.63860141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,232.63860141,20250731,1,2,1,2
8369685,1,3,2,2,1,3,449.16839561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347.5051868,,,,,
8369686,1,3,2,2,1,3,243.17349748,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.25,0,729.52049244,,,,,
8369697,1,1,1,4,1,1,82.143755248,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0.48,1,82.143755248,20250731,2,2,2,2
8369698,1,3,3,3,1,3,51.12242652,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.28,0,153.36727956,,,,,
8369699,1,2,2,5,1,2,93.723534628,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,187.44706926,,,,,
8369700,1,4,2,2,5,4,101.39996669,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18,0,405.59986674,,,,,
8369701,1,3,2,3,5,3,88.420951681,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18,0,265.26285504,,,,,
8369702,1,5,3,5,1,5,100.65910208,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.19,0,503.29551041,,,,,
8369703,1,2,2,2,1,2,75.166533064,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.19,0,150.33306613,,,,,
