DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,P6020,P6040,P6051,FEX_C,P6090,P5665,P8563,P51,P55,P774,P6160,P8587,P8587S1,P1088,P1088S1,P6180,P6250,P6260,P6270,P6351,P7250,P6920,P8586,P3336S1,P3336S2,P3336S3,P3337,P6240,P1082S2
8369550,1,1,1,2,45,1,472.131901349031,1,2,NA,NA,NA,NA,1,5,11,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369550,2,1,2,1,25,7,472.131901349031,1,2,NA,NA,NA,NA,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
8369550,3,1,3,2,16,9,472.131901349031,1,2,NA,NA,NA,NA,1,NA,NA,4,10,2,2,2,2,NA,NA,2,1,1,2,2,1,3,1
8369550,4,1,4,1,10,9,472.131901349031,1,2,NA,NA,NA,NA,1,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8369551,1,1,1,2,62,1,308.85431889674,1,2,NA,NA,NA,NA,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369552,1,1,1,2,38,1,428.516239120223,1,2,NA,NA,NA,NA,1,5,13,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369552,2,1,2,1,49,2,428.516239120223,1,2,NA,NA,NA,NA,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,1,1
8369552,3,1,3,1,14,3,428.516239120223,1,2,NA,NA,NA,NA,1,NA,NA,3,8,1,2,2,2,NA,NA,NA,1,1,2,2,1,3,1
8369552,4,1,4,1,7,3,428.516239120223,1,2,NA,NA,NA,NA,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,,
8369552,5,1,5,2,62,5,428.516239120223,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369553,1,1,1,2,74,1,268.976656039934,1,2,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,4,1
8369553,2,1,2,2,93,5,268.976656039934,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,
8369553,3,1,3,1,43,3,268.976656039934,1,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,,5,
8369554,1,1,1,2,63,1,353.949441872469,1,2,NA,NA,NA,NA,1,4,9,NA,NA,NA,2,2,2,NA,NA,3,2,,,,,4,1
8369554,2,1,2,1,64,2,353.949441872469,1,2,NA,NA,NA,NA,1,4,8,NA,NA,NA,2,2,2,NA,NA,2,2,,,,,6,1
8369555,1,1,1,2,33,1,271.967264217335,1,2,NA,NA,NA,NA,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,,,,1,1
