DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
8369550,4,1,1,1,4,1,1
8369551,1,1,1,1,4,1,1
8369552,5,1,1,1,6,1,1
8369553,3,1,1,1,6,1,1
8369554,2,1,1,1,4,1,1
8369555,2,1,1,1,4,1,1
8369557,3,1,1,1,4,1,1
8369558,3,1,1,1,4,1,1
8369559,4,1,1,1,4,1,1
8369560,5,1,1,1,4,1,1
8369561,3,1,1,1,4,1,1
8369563,1,1,1,1,4,1,1
8369564,1,1,1,1,6,2,2
8369565,5,1,1,1,6,2,2
8369567,1,1,1,5,6,2,2
8369568,1,1,1,1,4,1,1
8369569,2,1,1,1,4,1,1
8369570,2,1,1,1,4,1,1
8369571,3,1,1,1,4,1,1
8369572,3,1,1,1,4,1,1
8369573,1,1,1,1,4,1,1
8369574,9,1,1,1,4,1,1
8369575,1,1,1,1,4,1,1
8369576,1,1,1,1,4,1,1
8369577,2,1,1,1,4,1,1
8369578,1,1,1,1,6,2,2
8369579,1,1,1,1,6,2,2
8369580,1,1,1,1,4,1,1
8369581,1,1,1,1,4,1,1
8369583,1,1,1,1,4,1,1
8369584,4,1,1,1,4,1,1
8369585,1,1,1,1,4,1,1
8369586,1,1,1,1,4,1,1
8369587,1,1,1,1,4,1,1
8369588,1,1,1,1,4,1,1
8369589,6,1,1,1,4,1,1
8369590,3,1,1,1,4,1,1
8369591,3,1,1,1,4,1,1
8369592,1,1,1,1,4,1,1
8369593,4,1,1,1,4,1,1
8369594,1,1,1,1,6,1,1
8369595,1,1,1,1,6,1,1
8369596,1,1,1,1,4,1,1
8369597,3,1,1,1,4,1,1
8369598,3,1,1,1,4,1,1
8369599,2,1,1,1,4,1,1
8369600,1,1,1,1,6,1,1
8369601,1,1,1,1,4,1,1
8369602,5,1,1,1,4,1,1
8369603,2,1,1,1,4,1,1
8369604,2,1,1,1,4,1,1
8369605,2,1,1,1,4,2,1
8369606,2,1,1,1,4,2,1
8369607,2,1,1,1,4,1,1
8369608,3,1,1,1,6,2,1
8369609,2,1,1,1,4,1,1
8369610,5,1,1,1,4,1,1
8369611,2,1,1,1,4,1,1
8369612,2,1,1,1,6,1,1
8369613,2,1,1,1,4,1,1
8369614,2,1,1,1,4,1,1
8369615,3,1,1,1,6,1,1
8369616,2,1,1,1,6,1,1
8369617,2,1,2,1,4,1,1
8369618,1,1,2,1,6,1,1
8369619,3,1,2,5,6,1,1
8369620,1,1,3,1,4,2,1
8369621,5,1,1,1,4,1,1
8369622,1,1,1,1,4,1,1
8369623,3,1,1,1,4,1,1
8369624,2,1,1,1,4,1,1
8369626,1,1,1,1,6,1,2
8369628,1,1,1,1,6,2,1
8369629,6,1,1,1,6,2,1
8369630,10,1,1,1,6,2,1
8369631,4,1,1,1,6,2,1
8369632,5,1,1,1,7,2,1
8369633,4,1,1,1,6,1,1
8369636,4,1,2,1,4,1,1
8369637,4,1,2,1,4,1,1
8369638,3,1,2,1,4,1,1
8369639,2,1,2,1,4,1,1
8369640,2,1,2,1,1,1,1
8369641,3,1,2,1,4,1,1
8369642,2,1,2,1,6,1,1
8369643,4,1,2,1,6,1,1
