"DIRECTORIO","SECUENCIA_P","ORDEN","FEX_C"
8383346,1,1,947.617599258599
8383347,1,1,1446.95981225175
8383347,1,2,1446.95981225175
8383347,1,3,1446.95981225175
8383347,1,4,1446.95981225175
8383348,1,1,937.121067518008
8383348,1,2,937.121067518008
8383349,1,1,949.04742110778
8383349,1,2,949.04742110778
8383350,1,1,1547.54001474084
8383350,1,2,1547.54001474084
8383350,1,3,1547.54001474084
8383350,1,4,1547.54001474084
8383350,1,5,1547.54001474084
8383351,1,1,1348.37071067398
8383351,1,2,1348.37071067398
8383351,1,3,1348.37071067398
8383351,1,4,1348.37071067398
8383352,1,1,947.617599258599
8383353,1,1,1347.7570349606
8383353,1,2,1347.7570349606
8383353,1,3,1347.7570349606
8383354,1,1,937.121067518008
8383354,1,2,937.121067518008
8385992,1,1,901.502564372544
8385992,1,2,901.502564372544
8385993,1,1,863.022607891693
8385993,1,2,863.022607891693
8385993,1,3,863.022607891693
8385993,1,4,863.022607891693
8385994,1,1,607.586893368944
8385994,1,2,607.586893368944
8385994,1,3,607.586893368944
8385994,1,4,607.586893368944
8385994,1,5,607.586893368944
8385995,1,1,705.636005919364
8385995,1,2,705.636005919364
8385995,1,3,705.636005919364
8385996,1,1,704.882733920771
8385996,1,2,704.882733920771
8385997,1,1,566.808982176998
8385997,1,2,566.808982176998
8385997,1,3,566.808982176998
8385998,1,1,848.837272217536
8385998,1,2,848.837272217536
8386000,1,1,752.346162829922
8386000,1,2,752.346162829922
8386000,1,3,752.346162829922
8386001,1,1,767.659531995342
8386001,1,2,767.659531995342
8386001,1,3,767.659531995342
8386001,1,4,767.659531995342
8386002,1,1,848.837272217536
8386002,1,2,848.837272217536
8392636,1,1,1257.9628940821
8392636,1,2,1257.9628940821
8392636,1,3,1257.9628940821
8392637,1,1,986.163684117509
8392637,1,2,986.163684117509
8392637,1,3,986.163684117509
8392638,1,1,1271.78875006486
8392638,1,2,1271.78875006486
8392638,1,3,1271.78875006486
8392638,1,4,1271.78875006486
8392639,1,1,685.698342086347
8392639,1,2,685.698342086347
8392640,1,1,1178.94065585769
8392640,1,2,1178.94065585769
8392641,1,1,1468.87500774297
8392641,1,2,1468.87500774297
8392641,1,3,1468.87500774297
8392641,1,4,1468.87500774297
8392641,1,5,1468.87500774297
8392642,1,1,886.194041918113
8392644,1,1,987.730397299819
8392644,1,2,987.730397299819
8392645,1,1,702.105331352466
8397970,1,1,1285.23477477676
8397971,1,1,1066.15686225188
8397971,1,2,1066.15686225188
8397971,1,3,1066.15686225188
8397972,1,1,1370.73195965082
8397972,1,2,1370.73195965082
8397972,1,3,1370.73195965082
8397973,1,1,571.361876663094
8397973,1,2,571.361876663094
8397973,1,3,571.361876663094
8397974,1,1,867.31460401135
8397974,1,2,867.31460401135
8397974,1,3,867.31460401135
8397975,1,1,1285.23477477676
8397976,1,1,1066.76580019505
8397976,1,2,1066.76580019505
8397977,1,1,625.670457553082
8397977,1,2,625.670457553082
8397977,1,3,625.670457553082
8397978,1,1,843.530494191627
8397978,1,2,843.530494191627
8397978,1,3,843.530494191627
8397979,1,1,1370.73195965082
8397979,1,2,1370.73195965082
8397979,1,3,1370.73195965082
8397980,1,1,571.361876663094
8397980,1,2,571.361876663094
8397980,1,3,571.361876663094
8397982,1,1,843.530494191627
8397982,1,2,843.530494191627
8397982,1,3,843.530494191627
8401382,1,1,754.927168424476
8401382,1,2,754.927168424476
8401383,1,1,1449.82639621896
8401383,1,2,1449.82639621896
8401383,1,3,1449.82639621896
8401383,1,4,1449.82639621896
8401384,1,1,1058.89332788025
8401384,1,2,1058.89332788025
8401384,1,3,1058.89332788025
8401385,1,1,764.436057623484
8401385,1,2,764.436057623484
8401386,1,1,755.536106367641
8401387,1,1,1285.23477477676
8401388,1,1,747.16721502597
8401388,1,2,747.16721502597
8401389,1,1,965.63618960768
8401390,1,1,1306.70278673572
8401390,1,2,1306.70278673572
8401390,1,3,1306.70278673572
8401391,1,1,1076.27468939405
8401391,1,2,1076.27468939405
8404581,1,1,1733.0536889433
8404581,1,2,1733.0536889433
8404581,1,3,1733.0536889433
8404582,1,1,1120.75082253895
8404582,1,2,1120.75082253895
8404583,1,1,3424.5246327613
8404583,1,2,3424.5246327613
8404583,1,3,3424.5246327613
8404583,1,4,3424.5246327613
8404583,1,5,3424.5246327613
8404583,1,6,3424.5246327613
8404583,1,7,3424.5246327613
8404583,1,8,3424.5246327613
8404583,1,9,3424.5246327613
8404583,1,10,3424.5246327613
8404584,1,1,1493.20963936247
8404584,1,2,1493.20963936247
8404585,1,1,1120.75082253895
8404585,1,2,1120.75082253895
8404586,1,1,857.042814994642
8404586,1,2,857.042814994642
8404587,1,1,1120.75082253895
8404587,1,2,1120.75082253895
8404589,1,1,2078.69583495579
8404589,1,2,2078.69583495579
8404589,1,3,2078.69583495579
8404589,1,4,2078.69583495579
8404590,1,1,1120.75082253895
8404590,1,2,1120.75082253895
8404591,1,1,1733.0536889433
8404591,1,2,1733.0536889433
8404591,1,3,1733.0536889433
8404592,1,1,1930.72421671816
8404592,1,2,1930.72421671816
8404593,1,1,1301.61970248593
8404593,1,2,1301.61970248593
8404594,1,1,1300.88326816092
8404594,1,2,1300.88326816092
8404594,1,3,1300.88326816092
8404595,1,1,1260.35686247251
8404595,1,2,1260.35686247251
8404595,1,3,1260.35686247251
8404595,1,4,1260.35686247251
8404595,1,5,1260.35686247251
8404596,1,1,903.605350672032
8404596,1,2,903.605350672032
8404597,1,1,1554.33080574564
8404598,1,1,1299.55510596059
8404598,1,2,1299.55510596059
8404598,1,3,1299.55510596059
8404599,1,1,1167.81626680679
8404600,1,1,1554.33080574564
8404601,1,1,913.726478638366
8419577,1,1,1237.71589280316
8419577,1,2,1237.71589280316
8419578,1,1,1087.67011803178
8419578,1,2,1087.67011803178
8419578,1,3,1087.67011803178
8419578,1,4,1087.67011803178
8419578,1,5,1087.67011803178
8419579,1,1,1502.70820474608
8419579,1,2,1502.70820474608
8419579,1,3,1502.70820474608
8419580,1,1,1502.70820474608
8419580,1,2,1502.70820474608
8419580,1,3,1502.70820474608
8419581,1,1,1237.71589280316
8419581,1,2,1237.71589280316
8419583,1,1,1052.09472396546
8419583,1,2,1052.09472396546
8419583,1,3,1052.09472396546
8419583,1,4,1052.09472396546
8419584,1,1,859.242297279865
8419584,1,2,859.242297279865
8419585,1,1,1110.48161804883
