DIRECTORIO,SECUENCIA_P,ORDEN,es_desplazado,es_victima,fex_c_victi
8369552,1,1,1,1,528.47121642
8369577,1,1,1,1,890.74904492
8369581,1,1,1,1,29.67672665
8369583,1,1,1,1,29.67672665
8369586,1,1,1,1,25.95267065
8369589,1,2,1,1,18.232139061
8369589,1,3,1,1,18.232139061
8369589,1,5,1,1,18.232139061
8369590,1,3,1,1,28.672936538
8369592,1,1,0,1,223.92573291
8369594,1,1,1,1,151.90792614
8369600,1,1,1,1,292.85935812
8369602,1,1,1,1,139.88584939
8369602,1,2,1,1,139.88584939
8369602,1,3,1,1,139.88584939
8369603,1,2,1,1,224.37839421
8369607,1,2,1,1,263.70323591
8369608,1,1,1,1,258.21297367
8369608,1,2,1,1,258.21297367
8369608,1,3,1,1,258.21297367
8369609,1,2,1,1,229.7235896
8369610,1,5,1,1,732.85925158
8369611,1,1,1,1,463.38768228
8369611,1,2,1,1,463.38768228
8369613,1,1,0,1,390.60428451
8369614,1,1,1,1,395.8346285
8369628,1,1,1,1,126.03949947
8369633,1,1,1,1,96.577915802
8369638,1,1,1,1,104.00567369
8369638,1,2,1,1,104.00567369
8369638,1,3,1,1,104.00567369
8369641,1,1,0,1,225.02972448
8369642,1,1,1,1,116.66605788
8369642,1,2,1,1,116.66605788
8369647,1,1,0,1,299.17595941
8369655,1,1,1,1,83.713606074
8369655,1,3,1,1,83.713606074
8369655,1,4,1,1,83.713606074
8369660,1,3,1,1,125.61903923
8369660,1,4,1,1,125.61903923
8369666,1,1,1,1,210.56554716
8369667,1,1,1,1,241.47470652
8369677,1,2,1,1,244.74725123
8369681,1,1,1,1,257.64969973
8369698,1,1,1,1,63.047157758
8369698,1,2,1,1,63.047157758
8369700,1,1,1,1,125.05235239
8369700,1,2,1,1,125.05235239
8369701,1,2,1,1,109.04587417
8369702,1,5,1,1,124.13867496
8369705,1,1,1,1,97.119233891
8369711,1,1,1,1,204.62953868
8369712,1,1,1,1,160.91472902
8369712,1,3,1,1,160.91472902
8369713,1,1,1,1,75.962737741
8369714,1,1,1,1,297.42490541
8369715,1,1,1,1,140.44030563
8369716,1,1,1,1,84.496151532
8369717,1,1,1,1,254.0506114
8369718,1,1,1,1,84.496151532
8369719,1,2,1,1,163.74848214
8369721,1,1,1,1,190.65953336
8369721,1,3,1,1,190.65953336
8369722,1,1,1,1,146.58583195
8369722,1,2,1,1,146.58583195
8369741,1,2,1,1,2118.0264936
8369741,1,6,1,1,2118.0264936
8369753,1,1,1,1,1195.9209013
8369753,1,2,1,1,1195.9209013
8369754,1,1,1,1,852.28176891
8369759,1,1,1,1,692.53740237
8369760,1,1,1,1,1192.0765575
8369761,1,1,1,1,1035.8314818
8369762,1,1,1,1,1068.3776534
8369777,1,1,1,1,131.25174509
8369779,1,1,1,1,98.703041252
8369779,1,2,1,1,98.703041252
8369779,1,4,1,1,98.703041252
8369781,1,1,1,1,5.5061311683
8369782,1,1,1,1,7.5156133208
8369782,1,3,1,1,7.5156133208
8369785,1,2,1,1,8.7447107131
8369785,1,3,1,1,8.7447107131
