DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P5010	P8526	P8530	FEX_C	ALFABETISMO	LOGRO_EDUCATIVO	INASISTENCIA_ESCOLAR	REZAGO_ESCOLAR	ATENCION_INTEGRAL	TRABAJO_INFANTIL	DESEMPLEO_LARGA_DURACION	EMPLEO_FORMAL	ASEGURAMIENTO_SALUD	BARRERAS_ACCESO_SALUD	PERIODO	REGION	PERSONAS	ACUEDUCTO	ALCANTARILLADO	PISOS	PAREDES	P5010_imp	HACINAMIENTO	IPM	POBRE	FEXP
2974717	1	1	2	1	1	614.928874130467	1	1	0	0	0	0	1	1	0	1	20140939	2	3	0	0	0	0	2	0	0.5	1	1844.7866223914
2974718	1	1	2	1	1	994.321930268318	0	0	0	1	0	0	0	1	0	0	20140939	2	3	0	0	0	0	2	0	0.15	0	2982.96579080495
2974719	1	1	3	1	1	432.251901607193	0	1	0	1	0	0	1	0	0	0	20140939	9	4	0	0	0	0	3	0	0.25	0	1729.00760642877
2974720	1	1	1	1	1	256.398378950337	0	1	0	0	0	0	1	1	0	0	20140939	9	1	0	0	0	0	1	0	0.3	0	256.398378950337
2974721	1	1	1	1	1	256.398378950337	0	1	0	0	0	0	1	1	0	0	20140939	9	1	0	0	0	0	1	0	0.3	0	256.398378950337
2974722	1	1	1	1	1	1414.73505760439	0	1	0	0	0	0	0	0	0	0	20140939	2	2	0	0	0	0	1	0	0.1	0	2829.47011520879
2974723	1	1	2	1	1	984.336411113477	0	0	0	0	0	0	1	1	0	0	20140939	2	6	0	0	0	0	2	1	0.24	0	5906.01846668086
2974723	2	1	1	1	1	984.336411113477	0	0	0	0	0	0	0	0	0	0	20140939	2	3	0	0	0	0	1	1	0.04	0	2953.00923334043
2974724	1	1	2	1	1	502.57664231637	0	0	0	1	0	0	0	0	0	0	20140939	9	5	0	0	0	0	2	0	0.05	0	2512.88321158185
2974726	1	1	4	1	1	2400.71354118362	0	1	0	1	0	0	0	1	1	0	20140939	2	8	0	0	0	0	4	0	0.35	1	19205.708329469
2974727	1	1	2	1	1	2730.89298369003	0	1	0	0	0	0	1	1	0	0	20140939	2	2	0	0	0	0	2	0	0.3	0	5461.78596738006
2974728	1	1	3	1	1	543.186903116138	0	1	0	1	0	0	0	1	0	0	20140939	9	7	0	0	0	0	3	0	0.25	0	3802.30832181297
