PERIODO	DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6040	FEX_C	P6090	P5665	P8563	P51	P55	P6160	P8586	P8587	P8587S1	P1088	P1088S1	P6180	P6240	P6250	P6260	P6270	P6351	P6390S1	P7250	P6920
20140939	2974717	1	1	1	93	614.928874130467	1	2				1	2	3	1				6	2	2	2				2
20140939	2974717	2	1	2	90	614.928874130467	1	1	8			2	2	1	0				6	2	2	2				2
20140939	2974717	3	1	3	65	614.928874130467	1	2				1	2	1	0				4	2	2	2				2
20140939	2974718	1	1	1	64	994.321930268318	1	2				1	2	5	11				5							2
20140939	2974718	2	1	2	44	994.321930268318	1	2				1	2	4	9				1					5225		2
20140939	2974718	3	1	3	17	994.321930268318	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2974719	1	1	1	50	432.251901607193	1	2				1	2	3	5				1					8511		1
20140939	2974719	2	1	2	22	432.251901607193	1	2				1	2	5	11				2	2	2	2	1		60	2
20140939	2974719	3	1	3	16	432.251901607193	1	2				1	1			3	8	2	3	2	2	2				2
20140939	2974719	4	1	4	13	432.251901607193	1	2				1	1			2	5	2	3	2	2	2				2
20140939	2974720	1	1	1	83	256.398378950337	1	2				1	2	3	5				4	2	2	2				2
20140939	2974721	1	1	1	70	256.398378950337	1	2				1	2	3	5				4	2	2	2				2
20140939	2974722	1	1	1	80	1414.73505760439	1	2				1	2	3	5				1					116		3
20140939	2974722	2	1	2	63	1414.73505760439	1	2				1	2	3	4				4	2	2	2				2
20140939	2974723	1	1	1	44	984.336411113477	1	2				1	2	4	6				4	2	2	2				2
20140939	2974723	1	2	1	29	984.336411113477	1	2				1	2	5	11				1					8050		1
20140939	2974723	2	1	2	55	984.336411113477	1	2				1	2	5	11				6	2	2	2				1
20140939	2974723	2	2	2	34	984.336411113477	1	2				1	2	5	11				4	2	2	2				2
20140939	2974723	3	1	3	25	984.336411113477	1	2				1	1			5	1	2	3	2	2	2				2
20140939	2974723	3	2	3	0	984.336411113477	1	2		2	1															
20140939	2974723	4	1	4	0	984.336411113477	1	2		2	1															
20140939	2974723	5	1	5	21	984.336411113477	1	2				1	2	6	2				4	2	2	2				2
20140939	2974723	6	1	6	1	984.336411113477	1	2		2	1															
20140939	2974724	1	1	1	32	502.57664231637	1	2				1	2	5	11				1					7522		1
20140939	2974724	2	1	2	37	502.57664231637	1	2				1	2	7	1				4	2	2	2				2
20140939	2974724	3	1	3	14	502.57664231637	1	2				1	1			3	8	2	3	2	2	2				2
20140939	2974724	4	1	4	12	502.57664231637	1	2				1	1			2	5	2	3	2	2	2				2
20140939	2974724	5	1	5	7	502.57664231637	1	2				1	1			2	2	2								
20140939	2974726	1	1	1	47	2400.71354118362	2	2				1	2	3	3				1					5234		2
20140939	2974726	2	1	2	45	2400.71354118362	1	2				1	2	7	1				1					8532		2
20140939	2974726	3	1	3	19	2400.71354118362	2	2				1	1			4	11	2	3	1				5234		2
20140939	2974726	4	1	4	19	2400.71354118362	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2974726	5	1	5	17	2400.71354118362	1	2				1	2	5	11				4	2	2	2				2
20140939	2974726	6	1	6	16	2400.71354118362	1	2				1	1			3	9	2	3	2	2	2				2
20140939	2974726	7	1	7	12	2400.71354118362	2	2				1	1			3	6	2	3	2	2	2				2
20140939	2974726	8	1	8	88	2400.71354118362	1	2				1	2	3	5				6	2	2	2				2
20140939	2974727	1	1	1	72	2730.89298369003	1	2				1	2	4	6				5							3
20140939	2974727	2	1	2	31	2730.89298369003	1	2				1	2	3	4				6	2	2	2				2
20140939	2974728	1	1	1	50	543.186903116138	1	2				1	2	4	6				4	2	2	2	1		45	2
20140939	2974728	2	1	2	53	543.186903116138	1	2				1	2	3	5				1					6031		2
20140939	2974728	3	1	3	26	543.186903116138	1	2				1	2	4	7				1					6042		2
20140939	2974728	4	1	4	24	543.186903116138	1	2				1	2	5	11				1					7492		1
20140939	2974728	5	1	5	16	543.186903116138	1	2				1	1			4	10	2	3	2	2	2				2
20140939	2974728	6	1	6	14	543.186903116138	1	2				1	1			3	7	2	3	2	2	2				2
20140939	2974728	7	1	7	10	543.186903116138	1	2				1	1			2	5	2								
20140939	2974729	1	1	1	44	289.238405175634	1	2				1	2	3	5				1					9500		1
20140939	2974729	2	1	2	45	289.238405175634	1	2				1	2	3	5				1					5211		2
20140939	2974729	3	1	3	21	289.238405175634	1	2				1	2	7	3				1					8512		1
20140939	2974730	1	1	1	37	264.733225877027	1	2				1	2	7	1				1					5040		2
20140939	2974730	2	1	2	38	264.733225877027	1	2				1	2	7	1				1					8512		2
20140939	2974730	3	1	3	16	264.733225877027	1	2				1	1			4	11	2	3	2	2	1		5040		2
20140939	2974730	4	1	4	4	264.733225877027	1	2		1	1															
20140939	2974730	5	1	5	71	264.733225877027	1	2				1	2	5	11				4	2	2	2				2
20140939	2974731	1	1	1	80	765.665790188871	1	2				1	2	3	5				4	1				5271		2
20140939	2974732	1	1	1	78	1076.66218088295	1	2				1	2	3	1				6	2	2	2				2
20140939	2974733	1	1	1	73	1421.06239911799	1	2				1	2	3	3				4	2	2	2				2
20140939	2974733	2	1	2	38	1421.06239911799	1	2				1	2	11	5				1					9242		2
20140939	2974733	3	1	3	16	1421.06239911799	1	2				1	1			4	10	2	3	2	2	2				2
20140939	2974734	1	1	1	55	198.809235391771	1	2				1	2	5	11				1					7421		1
20140939	2974734	2	1	2	27	198.809235391771	2	2				1	2	7	2				4	2	2	2				2
20140939	2974735	1	1	1	74	1558.18078548578	1	2				1	2	3	2				1					140		2
20140939	2974736	1	1	1	35	287.879050820763	2	2				1	2	7	3				1					9302		2
20140939	2974736	2	1	2	9	287.879050820763	2	2				1	1			2	4	2								
20140939	2974736	3	1	3	10	287.879050820763	2	2				1	1			2	4	2								
20140939	2974737	1	1	1	49	455.821025224751	1	2				1	2	3	5				1					5529		2
20140939	2974737	2	1	2	10	455.821025224751	1	2				1	1			2	4	2								
20140939	2974737	3	1	3	8	455.821025224751	1	2				1	1			2	2	2								
20140939	2974737	4	1	4	5	455.821025224751	1	2				2	1			1	1	2								
20140939	2974738	1	1	1	77	1897.65194796299	1	2				2	2	1	0				4	2	2	2				2
20140939	2974738	2	1	2	39	1897.65194796299	1	2				1	1			3	7	2	1					117		2
20140939	2974739	1	1	1	62	2277.96412545965	1	2				1	2	13	1				1					7512		3
20140939	2974740	1	1	1	25	1314.4624393593	1	2				1	2	5	11				4	2	2	2				2
20140939	2974740	2	1	2	45	1314.4624393593	1	2				1	2	10	2				1					6042		2
20140939	2974740	3	1	3	6	1314.4624393593	1	2				1	1			1	3	2								
20140939	2974741	1	1	1	42	591.04587044651	1	2				1	2	11	5				1					8012		1
20140939	2974741	2	1	2	42	591.04587044651	1	2				1	2	1	0				1					5040		2
20140939	2974741	3	1	3	16	591.04587044651	1	2				1	1			4	10	2	3	2	2	2				2
