DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P3	P4005	P4015	P8520S3	P8520S5
2974717	1	1	1	1	6	1	1
2974718	1	1	1	1	6	1	1
2974719	1	1	1	1	6	1	1
2974720	1	1	1	1	6	1	1
2974721	1	1	1	1	6	1	1
2974722	1	1	1	1	4	1	1
2974723	1	1	1	1	4	1	1
2974724	1	1	1	1	6	1	1
2974726	1	1	1	1	4	1	1
2974727	1	1	1	1	4	1	1
2974728	1	1	1	1	6	1	1
2974729	1	1	1	1	6	1	1
2974730	1	1	1	5	4	1	2
2974731	1	1	1	1	6	1	1
2974732	1	1	1	1	4	1	1
2974733	1	1	1	1	6	1	1
2974734	1	1	1	1	4	1	1
2974735	1	1	1	1	6	2	1
2974736	1	1	1	1	4	1	2
2974737	1	1	1	1	6	1	1
2974738	1	1	1	1	7	2	1
2974739	1	1	1	1	4	1	1
2974740	1	1	1	1	4	1	1
2974741	1	1	1	1	4	1	1
2974742	1	1	1	1	6	1	1
2974743	1	1	1	1	4	1	1
2974744	1	1	1	1	4	1	2
2974745	1	1	1	1	4	1	1
2974746	1	1	1	1	4	1	2
2974747	1	1	1	1	4	1	1
2974748	1	1	1	1	4	1	1
2974749	1	1	1	1	4	1	1
2974750	1	1	1	1	6	1	1
2974751	1	1	1	1	4	1	1
2974752	1	1	1	1	6	1	1
2974753	1	1	1	1	6	1	1
2974754	1	1	1	1	4	1	1
2974755	1	1	1	1	6	1	1
2974756	1	1	1	1	6	1	1
2974757	1	1	1	1	4	1	1
2974758	1	1	1	1	6	1	1
2974759	1	1	1	1	6	1	1
2974760	1	1	1	1	4	1	1
2974761	1	1	1	1	4	1	1
2974762	1	1	1	1	4	1	1
2974763	1	1	1	1	6	1	1
2974764	1	1	1	1	4	1	1
2974765	1	1	1	1	4	1	1
2974766	1	1	1	1	4	1	1
2974767	1	1	1	1	4	1	1
2974768	1	1	1	1	4	1	1
2974770	1	1	1	1	4	1	1
2974771	1	1	1	1	4	1	1
2974772	1	1	1	1	4	1	1
2974773	1	1	1	1	6	1	1
2974774	1	1	1	1	4	1	1
2974775	1	1	1	1	4	1	1
2974776	1	1	1	1	4	1	1
2974777	1	1	1	8	6	2	1
2974778	1	1	1	1	6	1	1
2974779	1	1	1	1	4	1	1
2974780	1	1	1	1	4	1	1
2974781	1	1	1	1	6	1	1
2974782	1	1	2	1	6	1	1
2974783	1	1	1	1	6	1	1
2974784	1	1	1	1	4	1	1
2974785	1	1	2	1	6	1	1
2974786	1	1	1	1	6	1	1
2974787	1	1	1	1	6	1	1
2974788	1	1	1	1	4	1	1
2974789	1	1	1	1	6	1	1
2974790	1	1	2	1	6	1	1
2974791	1	1	1	1	6	2	1
2974792	1	1	1	1	4	1	1
2974793	1	1	1	1	6	1	1
2974794	1	1	1	1	4	1	1
2974795	1	1	1	1	6	1	1
2974796	1	1	1	1	4	1	1
2974797	1	1	2	1	6	1	1
2974798	1	1	1	1	4	1	1
2974799	1	1	1	1	6	2	1
2974800	1	1	1	1	4	1	1
2974801	1	1	2	1	6	1	1
2974802	1	1	1	1	4	1	1
2974803	1	1	1	1	6	2	1
2974804	1	1	2	1	6	1	1
2974805	1	1	2	1	6	1	1
2974806	1	1	1	1	4	1	1
2974807	1	1	2	1	6	1	1
2974808	1	1	2	1	6	1	1
2974809	1	1	2	1	6	1	1
2974810	1	1	1	1	4	1	1
2974811	1	1	1	1	4	1	1
2974812	1	1	1	1	6	1	1
2974813	1	1	1	1	4	1	1
2974814	1	1	1	1	4	1	1
2974815	1	1	1	1	6	1	1
2974816	1	1	1	1	4	1	1
2974817	1	1	1	1	6	1	1
2974818	1	1	1	1	4	1	1
2974819	1	1	1	1	6	1	1
2974820	1	1	1	1	6	1	1
2974821	1	1	1	1	4	1	1
2974822	1	1	1	1	4	1	1
2974823	1	1	1	1	6	1	1
2974824	1	1	1	1	6	1	1
2974826	1	1	1	1	6	1	1
2974827	1	1	1	1	4	1	1
2974828	1	1	1	1	4	1	1
2974829	1	1	3	2	6	2	2
2974830	1	1	3	1	6	2	2
2974831	1	1	3	1	6	2	2
2974833	1	1	1	1	6	1	1
2974834	1	1	1	1	6	1	1
2974835	1	1	3	1	6	2	2
2974836	1	1	3	1	6	2	2
2974837	1	1	3	2	6	2	2
2974839	1	1	1	1	6	1	1
2974840	1	1	1	1	3	1	1
2974843	1	1	3	1	6	2	2
2974844	1	1	1	1	3	1	1
2974845	1	1	3	1	6	2	2
2974846	1	1	3	1	4	2	2
2974847	1	1	1	1	4	1	1
2974848	1	1	1	3	4	1	1
2974849	1	1	1	1	4	1	1
2974850	1	1	3	1	6	2	2
2974851	1	1	3	1	4	2	2
2974852	1	1	3	1	4	2	2
2974853	1	1	1	1	6	1	1
2974854	1	1	1	1	6	1	1
2974855	1	1	2	1	6	1	1
2974856	1	1	1	1	4	1	1
2974857	1	1	1	1	4	1	1
2974858	1	1	3	2	6	2	2
2974859	1	1	3	1	4	2	2
2974860	1	1	2	1	7	1	1
2974861	1	1	1	1	3	1	1
2974862	1	1	1	1	6	1	1
2974863	1	1	1	1	3	1	1
2974864	1	1	1	1	1	1	1
2974865	1	1	1	1	4	1	1
2974866	1	1	1	1	4	1	1
2974867	1	1	1	1	6	1	1
2974868	1	1	1	1	3	1	1
2974869	1	1	1	2	4	1	1
2974870	1	1	1	1	4	1	1
2974871	1	1	1	1	6	1	1
2974872	1	1	1	1	4	1	1
2974873	1	1	1	1	4	1	1
2974874	1	1	1	1	4	1	1
2974875	1	1	1	1	6	1	1
2974876	1	1	1	1	4	1	1
2974877	1	1	1	1	6	1	1
2974878	1	1	1	1	4	1	1
2974879	1	1	1	1	6	1	1
